Generation,AVG_popsize,AVG_major0,AVG_major1,AVG_introgressed0,AVG_introgressed1,VAR_popsize,VAR_major0,VAR_major1,VAR_introgressed0,VAR_introgressed1
0,10,10,0,0,-2.38609e+08,0,0,0,0,0,
1,23,23,0,0,-2.38609e+08,0,0,0,0,0,
2,35,35,0,0,-2.38609e+08,0,0,0,0,0,
3,45,45,0,0,-2.38609e+08,0,0,0,0,0,
4,40,40,0,0,-2.38609e+08,0,0,0,0,0,
5,40,40,0,0,-2.38609e+08,0,0,0,0,0,
6,45,45,0,0,-2.38609e+08,0,0,0,0,0,
7,49,49,0,0,-2.38609e+08,0,0,0,0,0,
8,41,41,0,0,-2.38609e+08,0,0,0,0,0,
9,45,45,0,0,-2.38609e+08,0,0,0,0,0,
